
4f1dba4 - Mourad ZAMOUN, il y a 6 minutes : 4f1dba4eb71a72bd045026249a93e362dee2e375 debogage
4b0851e - mzamouneisi, il y a 2 heures : 4b0851e3cf626c638ab9317376cd08c9d6ca07f3 ci: add Azure Static Web Apps workflow file on-behalf-of: @Azure opensource@microsoft.com
c864eec - JalelBenAmor, il y a 4 heures : c864eec451260ef9ed3bb46877e826092ea33aec Merge pull request #10 from mzamouneisi/feature/fix-deploiement-bug
4fbfdde - eyagdoura, il y a 5 heures : 4fbfddee76879a28c21dfbefe1e3c5bae66d6f2d test
f02d730 - JalelBenAmor, il y a 4 jours : f02d7302c8a457a3be5833251df7c53e75a3ffa7 Merge pull request #9 from mzamouneisi/feature/fix-deploiement-bug
845b023 - JalelBenAmor, il y a 4 jours : 845b02353d410e6232d77b99b9596de4c6a69868 updates
0479ced - JalelBenAmor, il y a 4 jours : 0479cedb563f9e696a2e251fa88441fe1d4c8cbb Merge pull request #8 from mzamouneisi/feature/fix-deploiement-bug
c9f6d06 - JalelBenAmor, il y a 4 jours : c9f6d064d3a5539d668c4aff82988459d753c61d updates
d49e0d4 - JalelBenAmor, il y a 4 jours : d49e0d4b8179986c076268146dcc8ebb5fbef113 Merge pull request #7 from mzamouneisi/feature/fix-deploiement-bug
50ab3bd - JalelBenAmor, il y a 4 jours : 50ab3bd9a88c652f8f4b368510224e3de60ed61c updates
332298e - JalelBenAmor, il y a 4 jours : 332298e1ed3822dac20f79da6a11b130d1a95d67 Merge pull request #6 from mzamouneisi/feature/fix-deploiement-bug
d34126f - JalelBenAmor, il y a 4 jours : d34126f40128051648f62574308b4d974d8ba758 test bug
25d3609 - JalelBenAmor, il y a 4 jours : 25d3609bc67986e155693be8b2ea6b3a7d1cfaa1 Merge pull request #5 from mzamouneisi/feature/fix-deploiement-bug
2ab3a74 - JalelBenAmor, il y a 4 jours : 2ab3a74d94568987763e9c114138828cd2c75d97 test bug
ff09b2f - JalelBenAmor, il y a 4 jours : ff09b2f25fe4344e1211aea7c1deddabaa6dd209 Merge pull request #4 from mzamouneisi/feature/test-deploiement
78c537b - JalelBenAmor, il y a 4 jours : 78c537b999ad36882b7f6c6cafb037e486c59425 bug fix
e2675e6 - JalelBenAmor, il y a 4 jours : e2675e647e2b398216fc9c87ff76783a17c091d2 Merge pull request #3 from mzamouneisi/feature/test-deploiement
0911f2e - JalelBenAmor, il y a 4 jours : 0911f2ede0a735b1cd8b091ead15650274f157a0 fix node bug
c19fdd1 - JalelBenAmor, il y a 4 jours : c19fdd19043dd417d77f264967e0050c6b204218 Merge pull request #2 from mzamouneisi/feature/test-deploiement
58a69e5 - JalelBenAmor, il y a 4 jours : 58a69e5c5c9c41019806b4d5a0ba78da19828506 test deploiement
564cd3c - JalelBenAmor, il y a 4 jours : 564cd3c2e4717a01c3f19d7ea02051b36da4f86a Merge pull request #1 from mzamouneisi/feature/change-prod-env
52364aa - JalelBenAmor, il y a 4 jours : 52364aa60901074a22a03cdf5f61379f2aa9ba65 modifier apiUrl prod
cf15fea - mzamouneisi, il y a 4 jours : cf15fea5a32bb0853d497372419992762526fac6 Add or update the Azure App Service build and deployment workflow config
c7e98ce - Mourad ZAMOUN, il y a 3 semaines : c7e98ce43273d1702780bb8201e52edd9cf431e8 push all
a490df6 - Mourad ZAMOUN, il y a 3 semaines : a490df6549fc27158ae180c7e87967b80b20db18 first commit 

